web-scraper-order,web-scraper-start-url,navigation,scoreLink,scoreLink-href,HTeam,ATeam,date,detail
"1716284949-61","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","3‑1","https://thefishy.co.uk/livematch2/lausanne-sports-v-fc-luzern-1048501","Lausanne Sports","FC Luzern","08-Oct-2023 15:30","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""46""},{""detail"":""Possession""},{""detail"":""54""},{""detail"":""6""},{""detail"":""Shots on Target""},{""detail"":""3""},{""detail"":""6""},{""detail"":""Shots off Target""},{""detail"":""4""},{""detail"":""5""},{""detail"":""Shots Outside Box""},{""detail"":""2""},{""detail"":""4""},{""detail"":""Shots Per Goal""},{""detail"":""7""},{""detail"":""3""},{""detail"":""Shots Blocked""},{""detail"":""1""},{""detail"":""12""},{""detail"":""Attempts on Goal""},{""detail"":""7""},{""detail"":""2""},{""detail"":""Saves""},{""detail"":""3""},{""detail"":""8""},{""detail"":""Corners""},{""detail"":""4""},{""detail"":""13""},{""detail"":""Fouls""},{""detail"":""12""},{""detail"":""0""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""346""},{""detail"":""Total Passes""},{""detail"":""405""},{""detail"":""277""},{""detail"":""Accurate Passes""},{""detail"":""336""},{""detail"":""80""},{""detail"":""Pass Accuracy(%)""},{""detail"":""83""}]"
"1716284951-62","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","0‑0","https://thefishy.co.uk/livematch2/young-boys-v-fc-zurich-1048504","Young Boys","FC Zurich","21-Oct-2023 17:00","[{""detail"":""0.99""},{""detail"":""Expected Goals""},{""detail"":""0.72""},{""detail"":""3""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""60""},{""detail"":""Possession""},{""detail"":""40""},{""detail"":""1""},{""detail"":""Shots on Target""},{""detail"":""1""},{""detail"":""9""},{""detail"":""Shots off Target""},{""detail"":""4""},{""detail"":""7""},{""detail"":""Shots Outside Box""},{""detail"":""6""},{""detail"":""N/A""},{""detail"":""Shots Per Goal""},{""detail"":""N/A""},{""detail"":""5""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""10""},{""detail"":""Attempts on Goal""},{""detail"":""5""},{""detail"":""1""},{""detail"":""Saves""},{""detail"":""1""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""13""},{""detail"":""Fouls""},{""detail"":""9""},{""detail"":""3""},{""detail"":""Offsides""},{""detail"":""3""},{""detail"":""452""},{""detail"":""Total Passes""},{""detail"":""304""},{""detail"":""335""},{""detail"":""Accurate Passes""},{""detail"":""181""},{""detail"":""74""},{""detail"":""Pass Accuracy(%)""},{""detail"":""60""}]"
"1716284953-63","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","2‑2","https://thefishy.co.uk/livematch2/stade-lausanne-ouchy-v-lausanne-sports-1048503","Stade-Lausanne-Ouchy","Lausanne Sports","21-Oct-2023 17:00","[{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""62""},{""detail"":""Possession""},{""detail"":""38""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""5""},{""detail"":""4""},{""detail"":""Shots off Target""},{""detail"":""7""},{""detail"":""4""},{""detail"":""Shots Outside Box""},{""detail"":""4""},{""detail"":""3.5""},{""detail"":""Shots Per Goal""},{""detail"":""6""},{""detail"":""4""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""7""},{""detail"":""Attempts on Goal""},{""detail"":""12""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""3""},{""detail"":""16""},{""detail"":""Corners""},{""detail"":""1""},{""detail"":""12""},{""detail"":""Fouls""},{""detail"":""15""},{""detail"":""4""},{""detail"":""Offsides""},{""detail"":""3""},{""detail"":""440""},{""detail"":""Total Passes""},{""detail"":""271""},{""detail"":""338""},{""detail"":""Accurate Passes""},{""detail"":""190""},{""detail"":""77""},{""detail"":""Pass Accuracy(%)""},{""detail"":""70""}]"
"1716284955-64","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","0‑1","https://thefishy.co.uk/livematch2/basel-v-servette-fc-1048505","Basel","Servette FC","21-Oct-2023 19:30","[{""detail"":""0.53""},{""detail"":""Expected Goals""},{""detail"":""2.58""},{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""4""},{""detail"":""52""},{""detail"":""Possession""},{""detail"":""48""},{""detail"":""3""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""3""},{""detail"":""Shots off Target""},{""detail"":""8""},{""detail"":""5""},{""detail"":""Shots Outside Box""},{""detail"":""7""},{""detail"":""N/A""},{""detail"":""Shots Per Goal""},{""detail"":""12""},{""detail"":""2""},{""detail"":""Shots Blocked""},{""detail"":""6""},{""detail"":""6""},{""detail"":""Attempts on Goal""},{""detail"":""12""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""3""},{""detail"":""2""},{""detail"":""Corners""},{""detail"":""7""},{""detail"":""12""},{""detail"":""Fouls""},{""detail"":""12""},{""detail"":""497""},{""detail"":""Total Passes""},{""detail"":""446""},{""detail"":""410""},{""detail"":""Accurate Passes""},{""detail"":""359""},{""detail"":""82""},{""detail"":""Pass Accuracy(%)""},{""detail"":""80""}]"
"1716284957-65","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","2‑1","https://thefishy.co.uk/livematch2/fc-winterthur-v-st-gallen-1048506","FC Winterthur","St Gallen","22-Oct-2023 13:15","[{""detail"":""1.29""},{""detail"":""Expected Goals""},{""detail"":""1.64""},{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""45""},{""detail"":""Possession""},{""detail"":""55""},{""detail"":""4""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""5""},{""detail"":""Shots off Target""},{""detail"":""10""},{""detail"":""5""},{""detail"":""Shots Outside Box""},{""detail"":""9""},{""detail"":""4.5""},{""detail"":""Shots Per Goal""},{""detail"":""14""},{""detail"":""3""},{""detail"":""Shots Blocked""},{""detail"":""5""},{""detail"":""9""},{""detail"":""Attempts on Goal""},{""detail"":""14""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""2""},{""detail"":""4""},{""detail"":""Corners""},{""detail"":""7""},{""detail"":""19""},{""detail"":""Fouls""},{""detail"":""20""},{""detail"":""2""},{""detail"":""Offsides""},{""detail"":""0""},{""detail"":""317""},{""detail"":""Total Passes""},{""detail"":""395""},{""detail"":""224""},{""detail"":""Accurate Passes""},{""detail"":""318""},{""detail"":""71""},{""detail"":""Pass Accuracy(%)""},{""detail"":""81""}]"
"1716284959-66","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","2‑1","https://thefishy.co.uk/livematch2/grasshoppers-v-fc-lugano-1048507","Grasshoppers","FC Lugano","22-Oct-2023 15:30","[{""detail"":""0.70""},{""detail"":""Expected Goals""},{""detail"":""1.89""},{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""32""},{""detail"":""Possession""},{""detail"":""68""},{""detail"":""4""},{""detail"":""Shots on Target""},{""detail"":""5""},{""detail"":""2""},{""detail"":""Shots off Target""},{""detail"":""10""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""2""},{""detail"":""3""},{""detail"":""Shots Per Goal""},{""detail"":""15""},{""detail"":""4""},{""detail"":""Shots Blocked""},{""detail"":""4""},{""detail"":""6""},{""detail"":""Attempts on Goal""},{""detail"":""15""},{""detail"":""4""},{""detail"":""Saves""},{""detail"":""2""},{""detail"":""2""},{""detail"":""Corners""},{""detail"":""9""},{""detail"":""8""},{""detail"":""Fouls""},{""detail"":""9""},{""detail"":""2""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""242""},{""detail"":""Total Passes""},{""detail"":""539""},{""detail"":""172""},{""detail"":""Accurate Passes""},{""detail"":""458""},{""detail"":""71""},{""detail"":""Pass Accuracy(%)""},{""detail"":""85""}]"
"1716284961-67","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","2‑1","https://thefishy.co.uk/livematch2/fc-luzern-v-yverdon-sport-fc-1048508","FC Luzern","Yverdon-Sport FC","22-Oct-2023 15:30","[{""detail"":""2.48""},{""detail"":""Expected Goals""},{""detail"":""0.94""},{""detail"":""4""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""50""},{""detail"":""Possession""},{""detail"":""50""},{""detail"":""5""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""14""},{""detail"":""Shots off Target""},{""detail"":""5""},{""detail"":""10""},{""detail"":""Shots Outside Box""},{""detail"":""3""},{""detail"":""9.5""},{""detail"":""Shots Per Goal""},{""detail"":""9""},{""detail"":""6""},{""detail"":""Shots Blocked""},{""detail"":""1""},{""detail"":""19""},{""detail"":""Attempts on Goal""},{""detail"":""9""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""2""},{""detail"":""4""},{""detail"":""Corners""},{""detail"":""3""},{""detail"":""21""},{""detail"":""Fouls""},{""detail"":""16""},{""detail"":""3""},{""detail"":""Offsides""},{""detail"":""0""},{""detail"":""368""},{""detail"":""Total Passes""},{""detail"":""371""},{""detail"":""284""},{""detail"":""Accurate Passes""},{""detail"":""279""},{""detail"":""77""},{""detail"":""Pass Accuracy(%)""},{""detail"":""75""}]"
"1716284964-68","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","1‑1","https://thefishy.co.uk/livematch2/yverdon-sport-fc-v-fc-winterthur-1048513","Yverdon-Sport FC","FC Winterthur","28-Oct-2023 17:00","[{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""47""},{""detail"":""Possession""},{""detail"":""53""},{""detail"":""6""},{""detail"":""Shots on Target""},{""detail"":""4""},{""detail"":""4""},{""detail"":""Shots off Target""},{""detail"":""7""},{""detail"":""2""},{""detail"":""Shots Outside Box""},{""detail"":""6""},{""detail"":""10""},{""detail"":""Shots Per Goal""},{""detail"":""11""},{""detail"":""0""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""10""},{""detail"":""Attempts on Goal""},{""detail"":""11""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""5""},{""detail"":""3""},{""detail"":""Corners""},{""detail"":""6""},{""detail"":""14""},{""detail"":""Fouls""},{""detail"":""16""},{""detail"":""0""},{""detail"":""Offsides""},{""detail"":""1""},{""detail"":""383""},{""detail"":""Total Passes""},{""detail"":""417""},{""detail"":""317""},{""detail"":""Accurate Passes""},{""detail"":""345""},{""detail"":""83""},{""detail"":""Pass Accuracy(%)""},{""detail"":""83""}]"
"1716284966-69","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","3‑1","https://thefishy.co.uk/livematch2/st-gallen-v-grasshoppers-1048512","St Gallen","Grasshoppers","28-Oct-2023 17:00","[{""detail"":""1.61""},{""detail"":""Expected Goals""},{""detail"":""1.39""},{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""47""},{""detail"":""Possession""},{""detail"":""53""},{""detail"":""7""},{""detail"":""Shots on Target""},{""detail"":""1""},{""detail"":""6""},{""detail"":""Shots off Target""},{""detail"":""4""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""1""},{""detail"":""4.3""},{""detail"":""Shots Per Goal""},{""detail"":""5""},{""detail"":""6""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""13""},{""detail"":""Attempts on Goal""},{""detail"":""5""},{""detail"":""0""},{""detail"":""Saves""},{""detail"":""4""},{""detail"":""6""},{""detail"":""Corners""},{""detail"":""4""},{""detail"":""14""},{""detail"":""Fouls""},{""detail"":""8""},{""detail"":""2""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""347""},{""detail"":""Total Passes""},{""detail"":""384""},{""detail"":""245""},{""detail"":""Accurate Passes""},{""detail"":""275""},{""detail"":""71""},{""detail"":""Pass Accuracy(%)""},{""detail"":""72""}]"
"1716284968-70","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","1‑1","https://thefishy.co.uk/livematch2/fc-zurich-v-stade-lausanne-ouchy-1048514","FC Zurich","Stade-Lausanne-Ouchy","28-Oct-2023 19:30","[{""detail"":""1.74""},{""detail"":""Expected Goals""},{""detail"":""0.43""},{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""4""},{""detail"":""56""},{""detail"":""Possession""},{""detail"":""44""},{""detail"":""4""},{""detail"":""Shots on Target""},{""detail"":""2""},{""detail"":""9""},{""detail"":""Shots off Target""},{""detail"":""3""},{""detail"":""5""},{""detail"":""Shots Outside Box""},{""detail"":""2""},{""detail"":""13""},{""detail"":""Shots Per Goal""},{""detail"":""5""},{""detail"":""13""},{""detail"":""Attempts on Goal""},{""detail"":""5""},{""detail"":""1""},{""detail"":""Saves""},{""detail"":""3""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""2""},{""detail"":""12""},{""detail"":""Fouls""},{""detail"":""15""},{""detail"":""4""},{""detail"":""Offsides""},{""detail"":""2""},{""detail"":""368""},{""detail"":""Total Passes""},{""detail"":""301""},{""detail"":""271""},{""detail"":""Accurate Passes""},{""detail"":""199""},{""detail"":""74""},{""detail"":""Pass Accuracy(%)""},{""detail"":""66""}]"
"1716284970-71","https://thefishy.co.uk/football-results.php?table=38&season=21","https://thefishy.co.uk/football-results.php?table=38&season=21&begin=150","3‑0","https://thefishy.co.uk/livematch2/lausanne-sports-v-basel-1048509","Lausanne Sports","Basel","29-Oct-2023 13:15","[{""detail"":""2.86""},{""detail"":""Expected Goals""},{""detail"":""0.47""},{""detail"":""5""},{""detail"":""Substitutions""},{""detail"":""5""},{""detail"":""46""},{""detail"":""Possession""},{""detail"":""54""},{""detail"":""8""},{""detail"":""Shots on Target""},{""detail"":""3""},{""detail"":""4""},{""detail"":""Shots off Target""},{""detail"":""3""},{""detail"":""6""},{""detail"":""Shots Outside Box""},{""detail"":""4""},{""detail"":""4""},{""detail"":""Shots Per Goal""},{""detail"":""N/A""},{""detail"":""5""},{""detail"":""Shots Blocked""},{""detail"":""3""},{""detail"":""12""},{""detail"":""Attempts on Goal""},{""detail"":""6""},{""detail"":""3""},{""detail"":""Saves""},{""detail"":""5""},{""detail"":""5""},{""detail"":""Corners""},{""detail"":""4""},{""detail"":""14""},{""detail"":""Fouls""},{""detail"":""15""},{""detail"":""2""},{""detail"":""Offsides""},{""detail"":""3""},{""detail"":""346""},{""detail"":""Total Passes""},{""detail"":""403""},{""detail"":""270""},{""detail"":""Accurate Passes""},{""detail"":""328""},{""detail"":""78""},{""detail"":""Pass Accuracy(%)""},{""detail"":""81""}]"
